id,Тип,Подтверждено риэлтором,Количество розеток,Долгота,Количество зеркал,Цвет стен,Ремонтируется,Перепродажа,Готово к сдаче,Кол-во комнат,Площадь (фут²),Адрес,Широта,Опубликовано,Цена
0,BHK,0,7,12.96991,0,Зеленый,0,1,1,3,1510.269835,"Amruthnagar,Bangalore",77.59796,Owner,75.0
1,BHK,0,1,21.158795,0,Золотистый,0,1,1,3,1365.103003,"Shankar Nagar,Amravati",77.317542,Owner,55.0
2,BHK,0,1,30.689021,0,Черный,0,1,1,2,1200.0,"Mdc Sector-4,Panchkula",76.860403,Dealer,79.5
3,BHK,0,6,28.385415,0,Серый,0,1,1,3,1785.469029,"Sector-82A Gurgaon,Gurgaon",76.964613,Dealer,130.0
4,BHK,0,4,18.972317,2,Фиолетовый,0,1,1,3,2500.0,"Breach Candy,Lalitpur",72.806327,Dealer,2550.0
5,BHK,0,0,15.479294,0,Желтый,0,1,1,2,859.8993288999999,"Merces,Panaji",73.89546,Dealer,41.0
6,BHK,0,4,24.69028,0,Красный,0,1,1,2,1240.046991,"Sector 35I Kharghar,Lalitpur",78.41889,Dealer,95.0
7,BHK,0,1,12.960634,2,Фиолетовый,0,1,1,2,978.2608696,"Chandra Layout,Bangalore",77.523237,Dealer,45.0
8,BHK,1,1,30.543948,3,Серый,0,1,1,2,984.2519685,"Chandigarh Road,Ludhiana",75.964799,Dealer,30.0
9,BHK,0,6,28.552626,3,Белый,0,1,1,4,1900.0,"Sector-44 Noida,Noida",77.33394799999999,Dealer,95.0
10,BHK,0,6,22.470809,1,Бежевый,1,1,0,2,839.4736842,"Bansdroni,Kolkata",88.36318100000001,Dealer,31.9
11,BHK,0,0,12.840956,0,Красный,0,1,1,2,1130.311615,"Electronics City Phase 1,Bangalore",77.659441,Dealer,39.9
12,BHK,0,5,28.947812,3,Розовый,0,1,1,3,1376.848547,"Saraswati Lok,Meerut",77.691887,Owner,27.0
13,BHK,0,0,21.093676,2,Желтый,0,1,1,2,1097.0873789999998,"Manewada,Nagpur",79.111965,Owner,33.9
14,BHK,1,2,19.1955,3,Бежевый,1,1,0,2,1003.705991,"Kandivali (East),Mumbai",72.8728,Dealer,130.0
15,BHK,0,3,18.66238,3,Розовый,0,1,1,2,1110.0148,"Sector-18 Ulwe,Maharashtra",73.80315999999999,Dealer,90.0
16,BHK,1,1,30.712867,3,Розовый,0,1,1,2,819.5876289,"Sector-115 Mohali,Mohali",76.648557,Dealer,15.9
17,BHK,1,5,12.985786,2,Желтый,1,1,0,3,1715.492214,"ITPL,Bangalore",77.73555999999999,Dealer,130.0
18,BHK,0,0,22.632263,1,Коричневый,0,1,1,3,1149.782474,"Kaikhali,Kolkata",88.43538199999999,Dealer,37.0
19,BHK,1,5,12.93,0,Оранжевый,1,1,0,2,904.0683074,"Tambaram,Chennai",80.11,Dealer,36.0
20,BHK,0,2,18.96,0,Синий,0,1,1,1,690.0726392000001,"Sector-35 Kamothe,Maharashtra",72.82,Dealer,57.0
21,BHK,1,1,12.96991,2,Розовый,0,1,1,3,2256.7485460000003,"Binny Pete,Bangalore",77.59796,Dealer,260.0
22,BHK,0,4,19.255098,3,Черный,0,1,1,3,1210.0369380000002,"Hiranandani Estate,Maharashtra",72.9815265,Dealer,190.0
23,BHK,0,7,28.66667,0,Розовый,0,1,1,1,549.9276411000001,"Ankur Vihar,Ghaziabad",77.41667,Owner,19.0
